Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Token,370,328,188,538,1241,2162,92,2964,0.000%,.04435,0.02,0.01
Config,370,328,252,572,715,1279,84,3329,0.000%,.04435,0.24,0.03
Psp List,370,300,232,484,636,1156,79,4911,0.000%,.04435,0.07,0.03
Check Status,370,211,144,337,422,819,85,4337,0.000%,.04435,0.02,0.04
Events New,370,22852,173,434,685,2502,96,8346421,0.811%,.04433,0.02,0.04
Initiate Order,369,765,673,1055,1303,4299,337,6994,0.271%,.04424,0.01,0.06
Create Order,369,7458,201,515,637,2243,105,2643647,0.271%,.04423,0.01,0.06
Finalize Order,368,70996,148,454,667,2030031,84,8341129,1.902%,.04412,0.02,0.05
Failed Order,363,63114,238,557,707,4244,125,8340920,1.377%,.04352,0.02,0.06
Vendrequest ack,360,136734,100170,100393,100525,101521,4419,6712227,1.944%,.04316,0.02,0.04
Itemvendstatus,355,151141,100132,100301,100556,102358,100082,8237493,1.690%,.04308,0.02,0.04
Order vendstatus,351,8901,152,369,513,1000,88,3050474,0.570%,.04312,0.01,0.04
TOTAL,4385,38076,250,100135,100187,100561,79,8346421,0.730%,.52523,0.47,0.50
