Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Token,1398,493,137,1181,2728,6043,92,6464,0.000%,.06061,0.02,0.01
Config,1398,749,148,2816,5051,6892,83,8198,0.000%,.06061,0.33,0.04
Psp List,1398,576,136,2448,3318,5284,78,7742,0.000%,.06061,0.10,0.04
Check Status,1398,307,114,898,1310,2218,81,8248,0.000%,.06061,0.03,0.05
Events New,1398,120251,136,1323,1668,2679,96,24184092,0.501%,.05777,0.02,0.05
Initiate Order,1391,84982,416,2213,3344,6512,93,23966316,2.732%,.05748,0.02,0.07
Create Order,1386,17353,141,1119,1881,2820,98,23529855,0.144%,.05728,0.02,0.08
Finalize Order,1385,116048,117,699,957,1517,82,23782633,0.578%,.05724,0.02,0.07
Failed Order,1378,49119,177,1597,2137,3825,120,23327362,0.363%,.05695,0.02,0.08
Vendrequest ack,1375,569536,100119,100497,100848,20703270,100081,24172348,2.400%,.05683,0.02,0.05
Itemvendstatus,1344,780865,100109,100332,100668,20647963,100080,23675309,3.348%,.05578,0.02,0.05
Order vendstatus,1300,35069,119,367,807,1569,84,23584296,0.231%,.05418,0.02,0.05
TOTAL,16549,146229,168,100108,100143,100809,78,24184092,0.852%,.68384,0.61,0.65
