Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Token,1732,471,173,864,2126,4173,104,21055,0.058%,.52245,0.18,0.11
Config,1732,696,223,1757,4207,4810,89,6274,0.000%,.52250,2.84,0.39
Psp List,1732,552,202,1653,2277,2995,84,5671,0.000%,.52275,0.85,0.39
Check Status,1732,352,136,626,896,4298,88,6611,0.000%,.52292,0.23,0.46
Events New,1732,79580,162,1202,7997,10050,107,23536516,0.462%,.07352,0.02,0.06
Initiate Order,1726,134222,393,2255,3755,13381,102,23542536,41.194%,.07327,0.03,0.09
Create Order,1716,161914,177,1247,1960,2903,109,23538236,0.699%,.07289,0.03,0.10
Finalize Order,1704,220016,135,611,938,1572,95,23536597,0.939%,.07238,0.03,0.09
Failed Order,1688,83554,199,1317,1913,4184,123,23537606,0.474%,.07170,0.02,0.10
Vendrequest ack,1682,203726,100166,100480,100662,101216,100089,23322565,1.011%,.07145,0.03,0.06
Itemvendstatus,1674,1209195,100119,100432,20158396,20192069,100092,23015604,5.556%,.07142,0.03,0.06
Order vendstatus,1582,227,132,469,673,891,98,1436,0.063%,.51145,0.17,0.47
TOTAL,20432,172969,242,100124,100207,100724,84,23542536,4.243%,.86719,0.78,0.82
