Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Token,2572,766,168,1737,4630,7635,106,21003,0.039%,.18828,0.06,0.04
Config,2572,1181,152,3392,8426,10313,90,13463,0.000%,.18829,1.02,0.14
Psp List,2572,1609,141,4767,10459,17700,86,22771,0.000%,.18831,0.30,0.14
Check Status,2572,464,131,994,1453,5117,90,8935,0.000%,.18833,0.08,0.17
Events New,2572,76302,165,1280,1688,2834,112,13491931,0.894%,.18723,0.06,0.16
Initiate Order,2553,106632,419,2725,3999,9820,113,13732266,28.829%,.18585,0.07,0.24
Create Order,2527,63926,169,1257,1703,2517,114,13729121,0.831%,.18397,0.06,0.26
Finalize Order,2514,82199,144,705,1038,2005,99,13729433,0.915%,.18305,0.07,0.22
Failed Order,2495,75488,191,1424,2078,4478,138,13726970,0.802%,.18168,0.06,0.26
Vendrequest ack,2479,633993,100163,100723,101419,13723723,78638,13732275,4.599%,.18052,0.08,0.14
Itemvendstatus,2374,252568,100140,100456,100678,11323354,100094,13615208,1.474%,.17435,0.06,0.16
Order vendstatus,2343,97471,146,728,1178,3077,101,13515200,1.195%,.17335,0.06,0.16
TOTAL,30145,113949,295,100135,100252,101296,86,13732275,3.321%,2.19385,1.99,2.08
