Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Token,60,175,158,231,280,288,113,337,0.000%,2.24023,0.76,0.48
Config,60,264,260,385,481,498,104,621,0.000%,2.24307,12.19,1.66
Psp List,60,225,208,323,335,390,87,398,0.000%,2.25107,3.67,1.66
Check Status,60,203,135,177,190,202,102,4134,0.000%,2.26278,1.00,2.01
Events New,60,176,171,250,258,290,115,330,0.000%,2.26526,0.73,1.98
Initiate Order,60,6654,458,18733,18863,21827,355,22537,0.000%,2.25717,1.11,2.91
Create Order,60,184,164,271,287,300,111,312,0.000%,7.66773,2.53,11.01
Finalize Order,60,124,121,144,162,173,98,181,0.000%,7.78513,2.66,9.27
Failed Order,60,246,214,329,402,441,137,1153,0.000%,7.74593,2.51,11.12
TOTAL,540,917,182,423,621,18760,87,22537,0.000%,19.29674,20.70,18.88
